City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,zhob,31.3411,69.4481,24.64,22,45,1.46,PK,1683772920
203,uthal,25.8072,66.6219,29.69,59,0,0.82,PK,1683772920
204,mechanicsville,37.6088,-77.3733,15.69,80,0,0.0,US,1683772681
205,hobyo,5.3505,48.5268,27.22,73,66,7.97,SO,1683772921
206,goundam,16.4145,-3.6708,31.04,12,100,3.81,ML,1683772921
207,bandar-e lengeh,26.5579,54.8807,24.06,83,0,0.0,IR,1683772921
208,stanley,54.868,-1.6985,9.39,91,0,2.57,GB,1683772922
209,axim,4.8699,-2.2405,26.44,86,100,2.51,GH,1683772922
210,port saint john's,-31.6229,29.5448,18.37,50,6,3.1,ZA,1683772923
211,susuman,62.7833,148.1667,7.49,57,31,6.5,RU,1683772923
212,villa gesell,-37.2639,-56.973,12.25,66,90,5.53,AR,1683772923
213,vila velha,-20.3297,-40.2925,22.97,96,75,1.54,BR,1683772924
214,itoman,26.1247,127.6694,25.22,50,20,6.69,JP,1683772924
215,labrador city,52.9463,-66.9114,0.95,55,20,1.03,CA,1683772810
216,mata-utu,-13.2816,-176.1745,28.65,75,7,6.18,WF,1683772873
217,selfoss,63.9331,-20.9971,7.69,83,26,1.67,IS,1683772925
218,al bayda',32.7627,21.7551,14.62,72,99,6.09,LY,1683772925
219,st. john's,47.5649,-52.7093,2.21,81,0,4.63,CA,1683772822
220,avarua,-21.2078,-159.775,26.03,78,40,8.23,CK,1683772926
221,biloela,-24.4167,150.5,24.52,44,64,7.44,AU,1683772926
222,tralee,52.2704,-9.7026,9.55,94,23,4.88,IE,1683772926
223,mar del plata,-38.0023,-57.5575,13.38,67,75,3.6,AR,1683772766
224,tura,25.5198,90.2201,31.49,44,0,1.95,IN,1683772927
225,yangjiang,21.85,111.9667,23.88,91,100,3.6,CN,1683772927
226,shakhun'ya,57.6758,46.6114,8.13,83,19,1.91,RU,1683772927
227,smara,26.7384,-11.6719,21.81,58,0,3.8,EH,1683772927
228,san pedro,14.35,121.0167,30.18,73,75,1.54,PH,1683772928
229,california city,35.1258,-117.9859,19.92,35,0,10.8,US,1683772928
230,villefranche-de-rouergue,44.3333,2.0,9.43,99,36,0.98,FR,1683772928
231,masterton,-40.9597,175.6575,9.38,96,100,3.84,NZ,1683772928
232,ad dilam,23.9915,47.1627,30.23,16,38,0.85,SA,1683772929
233,kulhudhuffushi,6.6221,73.07,28.31,78,78,3.27,MV,1683772929
234,punta arenas,-53.15,-70.9167,6.06,87,75,2.57,CL,1683772929
235,suonenjoki,62.6167,27.1333,7.88,63,96,2.95,FI,1683772929
236,san isidro,-12.1167,-77.05,21.77,86,100,3.09,PE,1683772930
237,motupe,-6.1519,-79.7142,23.01,75,21,1.03,PE,1683772930
